mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
25.1681940079,0.543016004562,-0.653452947144,-0.643074926054,sqrt,{'max_features': 'sqrt'},2,-0.660631714444,-0.641839221551,-0.650475367548,-0.643054090719,-0.654227036185,-0.641306954064,-0.646026189793,-0.64432029945,-0.655904427752,-0.644854064488,1.51030398865,0.0608137964479,0.00494300264938,0.0013688983273
22.3106784344,0.573000907898,-0.657863657713,-0.648564332624,log2,{'max_features': 'log2'},3,-0.665862050787,-0.64803907898,-0.655630785673,-0.649786972278,-0.658402633248,-0.646410014371,-0.650175762951,-0.649032233863,-0.659247055909,-0.649553363625,1.37294394651,0.0908106623441,0.0051042731193,0.00123360772878
53.7752344131,0.273527193069,-0.627486494079,-0.612008342714,,{'max_features': None},1,-0.635316675394,-0.610718599772,-0.623662711624,-0.613454489803,-0.63012836345,-0.611696812077,-0.620468606233,-0.612935433197,-0.627856113695,-0.611236378719,1.06416539684,0.10412538533,0.00514392639797,0.00103026741867
