mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
24.2158486366,1.93740634918,-0.645617474967,-0.154365574282,1,2,"{'min_samples_split': 2, 'min_samples_leaf': 1}",16,-0.635261942491,-0.153765599446,-0.646890174386,-0.155332267247,-0.646489300136,-0.154395813227,-0.644554568318,-0.154104305583,-0.654891389503,-0.154229885906,1.29464704239,0.258086001949,0.00627299222306,0.000525747497216
25.5104886055,1.30889377594,-0.628960554491,-0.202826764404,1,3,"{'min_samples_split': 3, 'min_samples_leaf': 1}",15,-0.629761187943,-0.202140981034,-0.628103035238,-0.203880139076,-0.632243205373,-0.202738789009,-0.623350112823,-0.202655512624,-0.63134523108,-0.202718400279,0.849101021265,0.274155826209,0.00314056963467,0.000570737532573
23.8076430321,1.17470941544,-0.620378144951,-0.23981294055,1,4,"{'min_samples_split': 4, 'min_samples_leaf': 1}",4,-0.627775289869,-0.2391334863,-0.615361993911,-0.24144054257,-0.620443232919,-0.239585353989,-0.613214209922,-0.239181729714,-0.625095998136,-0.239723590175,0.355587726713,0.220469833788,0.0055401058547,0.000844861250976
21.4688751698,1.27937345505,-0.621995136343,-0.26981845871,1,5,"{'min_samples_split': 5, 'min_samples_leaf': 1}",6,-0.630329986305,-0.268882415447,-0.62171032571,-0.271261272966,-0.61562416881,-0.26967138162,-0.615653630077,-0.269192924216,-0.626657570815,-0.270084299301,0.959870365869,0.252360531503,0.00586673785375,0.000829636819566
21.0614699841,1.21650094986,-0.619123211777,-0.333888093297,2,2,"{'min_samples_split': 2, 'min_samples_leaf': 2}",1,-0.626692490038,-0.333750630884,-0.616124577998,-0.33533563331,-0.61814496605,-0.334196443704,-0.614380218016,-0.332683678548,-0.620273806781,-0.333474080042,0.820757573531,0.184312500794,0.00426761294663,0.000875370760496
20.2390516281,1.21757798195,-0.619123211777,-0.333888093297,2,3,"{'min_samples_split': 3, 'min_samples_leaf': 2}",1,-0.626692490038,-0.333750630884,-0.616124577998,-0.33533563331,-0.61814496605,-0.334196443704,-0.614380218016,-0.332683678548,-0.620273806781,-0.333474080042,1.38094369948,0.234417593337,0.00426761294663,0.000875370760496
20.7426913738,1.03601222038,-0.619123211777,-0.333888093297,2,4,"{'min_samples_split': 4, 'min_samples_leaf': 2}",1,-0.626692490038,-0.333750630884,-0.616124577998,-0.33533563331,-0.61814496605,-0.334196443704,-0.614380218016,-0.332683678548,-0.620273806781,-0.333474080042,0.639935414984,0.147490723898,0.00426761294663,0.000875370760496
19.4047288418,1.21988739967,-0.620401477705,-0.349299419454,2,5,"{'min_samples_split': 5, 'min_samples_leaf': 2}",5,-0.627874965109,-0.34784593656,-0.617082092403,-0.350771821565,-0.619659606976,-0.348811433134,-0.614377720017,-0.349837265489,-0.623013004019,-0.349230640521,1.14763899063,0.247689753144,0.00470164718603,0.000981093272545
20.849597168,1.42556757927,-0.622910052304,-0.410960671154,3,2,"{'min_samples_split': 2, 'min_samples_leaf': 3}",7,-0.629604572025,-0.40979234575,-0.620346957506,-0.411341656108,-0.623000224589,-0.413316250494,-0.617297943187,-0.411877469232,-0.624300564215,-0.408475634188,0.654723133629,0.232168029111,0.00411882197739,0.001677785162
22.1255399704,1.1768096447,-0.622910052304,-0.410960671154,3,3,"{'min_samples_split': 3, 'min_samples_leaf': 3}",7,-0.629604572025,-0.40979234575,-0.620346957506,-0.411341656108,-0.623000224589,-0.413316250494,-0.617297943187,-0.411877469232,-0.624300564215,-0.408475634188,1.77400396345,0.0811414182846,0.00411882197739,0.001677785162
24.5273620129,0.947517347336,-0.622910052304,-0.410960671154,3,4,"{'min_samples_split': 4, 'min_samples_leaf': 3}",7,-0.629604572025,-0.40979234575,-0.620346957506,-0.411341656108,-0.623000224589,-0.413316250494,-0.617297943187,-0.411877469232,-0.624300564215,-0.408475634188,0.966614595403,0.0919244347338,0.00411882197739,0.001677785162
26.3662158012,1.27746481895,-0.622910052304,-0.410960671154,3,5,"{'min_samples_split': 5, 'min_samples_leaf': 3}",7,-0.629604572025,-0.40979234575,-0.620346957506,-0.411341656108,-0.623000224589,-0.413316250494,-0.617297943187,-0.411877469232,-0.624300564215,-0.408475634188,0.271191555586,0.722392282303,0.00411882197739,0.001677785162
21.2016767979,0.925021982193,-0.625286144662,-0.45585431235,4,2,"{'min_samples_split': 2, 'min_samples_leaf': 4}",11,-0.63306414559,-0.455045401641,-0.622345337895,-0.457842285196,-0.624990021626,-0.454136169124,-0.617963439071,-0.455744219472,-0.62806777913,-0.456503486317,3.39485803427,0.152579424336,0.00511063282206,0.00126427338811
17.9264423847,0.752636194229,-0.625286144662,-0.45585431235,4,3,"{'min_samples_split': 3, 'min_samples_leaf': 4}",11,-0.63306414559,-0.455045401641,-0.622345337895,-0.457842285196,-0.624990021626,-0.454136169124,-0.617963439071,-0.455744219472,-0.62806777913,-0.456503486317,1.34269333527,0.124333121963,0.00511063282206,0.00126427338811
17.4481289864,0.867514133453,-0.625286144662,-0.45585431235,4,4,"{'min_samples_split': 4, 'min_samples_leaf': 4}",11,-0.63306414559,-0.455045401641,-0.622345337895,-0.457842285196,-0.624990021626,-0.454136169124,-0.617963439071,-0.455744219472,-0.62806777913,-0.456503486317,0.236716126654,0.224433722893,0.00511063282206,0.00126427338811
16.9200498104,0.669678401947,-0.625286144662,-0.45585431235,4,5,"{'min_samples_split': 5, 'min_samples_leaf': 4}",11,-0.63306414559,-0.455045401641,-0.622345337895,-0.457842285196,-0.624990021626,-0.454136169124,-0.617963439071,-0.455744219472,-0.62806777913,-0.456503486317,0.992348855397,0.214648339343,0.00511063282206,0.00126427338811
