mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
23.4857160568,1.40987915993,-0.645617474967,-0.154365574282,sqrt,{'max_features': 'sqrt'},1,-0.635261942491,-0.153765599446,-0.646890174386,-0.155332267247,-0.646489300136,-0.154395813227,-0.644554568318,-0.154104305583,-0.654891389503,-0.154229885906,1.06109603103,0.300482184026,0.00627299222306,0.000525747497216
20.4091097832,1.41800146103,-0.646261595554,-0.155318926291,log2,{'max_features': 'log2'},2,-0.644418562883,-0.154832038412,-0.638167937653,-0.156018020024,-0.653382937763,-0.155022597178,-0.637277568325,-0.155271179745,-0.658060971145,-0.155450796097,2.191954265,0.175665539225,0.00824082025154,0.000408233309538
63.1462641716,0.706148386002,-0.691214524915,-0.15080146839,,{'max_features': None},3,-0.674584508553,-0.150044720613,-0.671265788854,-0.1517045858,-0.689640929878,-0.150722214774,-0.676593858179,-0.150797634799,-0.743987539108,-0.15073818596,0.566491498458,0.0464552562798,0.0271136151732,0.000528883494232
