mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
24.4516843319,0.367595005035,-0.591129390456,-0.487538835394,0.04,900,"{'n_estimators': 900, 'learning_rate': 0.04}",6,-0.595455694233,-0.486016463885,-0.587730664559,-0.489514710364,-0.593877648597,-0.487629694622,-0.585072935567,-0.488065952105,-0.593510009323,-0.486467355996,1.61978658051,0.0466464613727,0.00400422668978,0.00123740635496
28.6912045956,0.410631036758,-0.590698976338,-0.477756161209,0.04,1000,"{'n_estimators': 1000, 'learning_rate': 0.04}",2,-0.59478794548,-0.476069925857,-0.587339132759,-0.479682717124,-0.593453584939,-0.478072998732,-0.584497018071,-0.478489387499,-0.593417200443,-0.476465776835,1.54855102091,0.0476326775264,0.00403606527956,0.00133102261404
31.7507991791,0.465390014648,-0.590459435402,-0.468406215989,0.04,1100,"{'n_estimators': 1100, 'learning_rate': 0.04}",1,-0.594476546867,-0.46669822342,-0.587220642861,-0.47024375956,-0.593068360157,-0.468828659441,-0.584233263244,-0.469166389457,-0.59329836388,-0.467094048067,1.79743878092,0.0442597023211,0.00400644941714,0.00132453099756
25.8636221409,0.353579711914,-0.590749777587,-0.466236070951,0.05,900,"{'n_estimators': 900, 'learning_rate': 0.05}",3,-0.594605826968,-0.465221942286,-0.586672353077,-0.468207572264,-0.593062425048,-0.466294347566,-0.585456995031,-0.466583725905,-0.59395128781,-0.464872766732,2.3406066959,0.0370101308131,0.0038757208528,0.00117457506384
28.8355728149,0.420812559128,-0.59077567524,-0.455227833612,0.05,1000,"{'n_estimators': 1000, 'learning_rate': 0.05}",4,-0.594180496935,-0.454163871495,-0.586926688935,-0.457143508399,-0.593409127444,-0.455340458524,-0.585517653828,-0.455799307914,-0.593844409057,-0.453692021727,1.91784090388,0.0499520351942,0.00375250564993,0.00122472941275
30.3474525928,0.489866781235,-0.590991878936,-0.444772781929,0.05,1100,"{'n_estimators': 1100, 'learning_rate': 0.05}",5,-0.594155245569,-0.443663968136,-0.587214671349,-0.446643810551,-0.593621024088,-0.444979058732,-0.585698936868,-0.445312300945,-0.594269516803,-0.443264771279,1.90500541782,0.0474705722163,0.00374018009111,0.00121144072409
