mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1149.86700897,6.03070983887,-0.615491368895,-0.594310429851,1500,{'n_estimators': 1500},6,-0.62284513415,-0.592896200233,-0.611608376522,-0.595663879784,-0.617925969835,-0.593655755592,-0.609178181988,-0.595559578945,-0.615899181979,-0.5937767347,6.35705988756,0.660844532203,0.00479802908211,0.00110504972663
1318.59524221,6.6537976265,-0.612524875902,-0.588984482871,1700,{'n_estimators': 1700},5,-0.619689999709,-0.587596888855,-0.608618531473,-0.590249467325,-0.614925023382,-0.588419075481,-0.606349526149,-0.590270552042,-0.613041298795,-0.588386430653,21.0537382644,0.698409143346,0.00470660963043,0.00108230575207
1506.51803389,7.0571911335,-0.610041413383,-0.584245181809,1900,{'n_estimators': 1900},4,-0.616977176713,-0.582839217262,-0.606167566014,-0.585475683436,-0.612470464016,-0.583699084658,-0.603918685957,-0.585547753104,-0.610673174212,-0.583664170585,13.2693584784,0.329336352489,0.00462382322903,0.00107919958124
1649.26067462,8.54618778229,-0.607903235804,-0.579900495205,2100,{'n_estimators': 2100},3,-0.614690695909,-0.578559219597,-0.60403293854,-0.581134051096,-0.610298112754,-0.57933866888,-0.601679940699,-0.581092822408,-0.60881449112,-0.579377714048,13.5236860834,0.931792040278,0.00461181177873,0.00103259609816
1741.70478516,8.25112657547,-0.60610432987,-0.575971009608,2300,{'n_estimators': 2300},2,-0.612772185808,-0.574671278989,-0.60223718578,-0.577176987357,-0.60849691656,-0.575478364361,-0.59999894196,-0.577105526088,-0.607016419241,-0.575422891246,120.707680202,1.0756002931,0.00454416649876,0.000997390869514
1470.06656675,3.34352312088,-0.604626124339,-0.57232195313,2500,{'n_estimators': 2500},1,-0.61105632035,-0.570995658229,-0.600746198887,-0.573541347052,-0.607118402613,-0.571834577026,-0.598545653984,-0.573486011201,-0.605664045861,-0.571752172141,100.756202715,1.84271541102,0.00448691640371,0.0010161886378
