mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
9.24470515251,0.119172239304,-0.572448039444,-0.462000478545,0.8,3,4,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.8, 'max_depth': 3, 'min_child_weight': 4}",9,-0.580303051609,-0.459446509758,-0.566541012304,-0.463254743852,-0.574658801246,-0.462448950192,-0.565739261859,-0.463494737447,-0.5749980702,-0.461357451477,0.104643017066,0.000511569619992,0.00553158217916,0.0014794159875
7.98411521912,0.105904388428,-0.571583423738,-0.462352013273,0.8,3,4,0.85,"{'subsample': 0.85, 'colsample_bytree': 0.8, 'max_depth': 3, 'min_child_weight': 4}",5,-0.576233966575,-0.460183522085,-0.56761733155,-0.465594983834,-0.573621438662,-0.462063920436,-0.563787253697,-0.463817855665,-0.576657128208,-0.460099784344,0.569725371203,0.00969196862644,0.00506030997292,0.00212242496416
8.84007983208,0.118422412872,-0.571132801485,-0.462896706902,0.8,3,4,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.8, 'max_depth': 3, 'min_child_weight': 4}",1,-0.577444690614,-0.46130962085,-0.567710760111,-0.464458821702,-0.568851335409,-0.463740327174,-0.567750910882,-0.463630212868,-0.573906310409,-0.461344551914,0.0945607832337,0.000255519525911,0.00389576525963,0.00131285612748
9.90315918922,0.11913599968,-0.57506301436,-0.462814562494,0.85,3,4,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.85, 'max_depth': 3, 'min_child_weight': 4}",20,-0.584293123144,-0.462111324401,-0.572579288516,-0.464507293414,-0.573992656344,-0.463708713019,-0.567752977359,-0.462501385053,-0.576697026437,-0.461244096582,0.102277930386,0.000573966524332,0.00545190067668,0.00115964048187
8.5556956768,0.105195760727,-0.573047526988,-0.462069863675,0.85,3,4,0.75,"{'subsample': 0.75, 'colsample_bytree': 0.85, 'max_depth': 3, 'min_child_weight': 4}",13,-0.583661269368,-0.461837736509,-0.567128595381,-0.465570002196,-0.574054187027,-0.46241402151,-0.563544037211,-0.461738348169,-0.576849545951,-0.45878920999,0.844044249491,0.0113957585904,0.00711997625356,0.00215851284147
9.53787302971,0.118838167191,-0.572998760881,-0.461657444703,0.85,3,4,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.85, 'max_depth': 3, 'min_child_weight': 4}",12,-0.57977900771,-0.460255355989,-0.567973082091,-0.463962481319,-0.573805433457,-0.462200339768,-0.566152042107,-0.462999075436,-0.577284239041,-0.458869971001,0.181711781623,0.000676492366821,0.00523684630378,0.00185168919007
9.2618376255,0.119020032883,-0.571462301692,-0.462180116085,0.85,3,4,0.85,"{'subsample': 0.85, 'colsample_bytree': 0.85, 'max_depth': 3, 'min_child_weight': 4}",4,-0.578655262147,-0.460611529229,-0.567506675142,-0.463839444624,-0.572988136412,-0.462083946811,-0.565076637298,-0.463099180927,-0.573084797461,-0.461266478836,0.09288477733,0.000753139307961,0.00475653309419,0.001174946608
7.86469631195,0.0988615989685,-0.572692200224,-0.462138679194,0.85,3,4,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.85, 'max_depth': 3, 'min_child_weight': 4}",11,-0.582426030311,-0.46087306895,-0.570585735982,-0.463667984379,-0.571613588589,-0.462261838496,-0.564050280112,-0.461962292254,-0.574785366126,-0.461928211888,0.593165687022,0.0100691687219,0.00599019481385,0.000897899848651
10.0512736797,0.120119571686,-0.576085468135,-0.462565601517,0.9,3,4,0.7,"{'subsample': 0.7, 'colsample_bytree': 0.9, 'max_depth': 3, 'min_child_weight': 4}",23,-0.585465321596,-0.463125439622,-0.574472902933,-0.464087566771,-0.573484606922,-0.462210420581,-0.568001075537,-0.46207371327,-0.579003433688,-0.461330867342,0.588818881493,0.000455292174073,0.0058518103724,0.000951049206593
9.74868178368,0.115202617645,-0.574536585492,-0.460873262626,0.9,3,4,0.75,"{'subsample': 0.75, 'colsample_bytree': 0.9, 'max_depth': 3, 'min_child_weight': 4}",18,-0.581180308374,-0.460097496983,-0.571798017032,-0.463597413637,-0.575624370318,-0.459711014945,-0.567343749021,-0.461822088102,-0.576736482716,-0.459138299461,0.73629688972,0.0103895168992,0.00467757482178,0.00162996918418
9.14094824791,0.109423208237,-0.57342460488,-0.46108836207,0.9,3,4,0.8,"{'subsample': 0.8, 'colsample_bytree': 0.9, 'max_depth': 3, 'min_child_weight': 4}",15,-0.582238335506,-0.459416321145,-0.570362839042,-0.462895267674,-0.570731829671,-0.461371299642,-0.566283878701,-0.461969128142,-0.57750614148,-0.459789793746,0.800568207041,0.012116857357,0.00569133037715,0.00131169439678
8.3944829464,0.0992310523987,-0.571962898666,-0.460921641538,0.9,3,4,0.85,"{'subsample': 0.85, 'colsample_bytree': 0.9, 'max_depth': 3, 'min_child_weight': 4}",6,-0.578807070735,-0.460072824389,-0.568107308299,-0.462671270965,-0.573586596479,-0.459710509015,-0.564901627286,-0.461514410354,-0.57441189053,-0.460639192964,0.717794229449,0.00957238271285,0.00490313731439,0.00106580370967
8.76949038506,0.109496355057,-0.571209460421,-0.461466974653,0.9,3,4,0.9,"{'subsample': 0.9, 'colsample_bytree': 0.9, 'max_depth': 3, 'min_child_weight': 4}",2,-0.57646049681,-0.460005014523,-0.570335882489,-0.462876762373,-0.572470788193,-0.461860008366,-0.563946431033,-0.462035703624,-0.57283370358,-0.460557384382,0.738189993291,0.0118535965019,0.00413079244307,0.00104212393147
