mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
96.2197886944,0.60406088829,-0.628809495998,-0.614109609381,1,2,"{'min_samples_split': 2, 'min_samples_leaf': 1}",16,-0.636296067419,-0.611767368178,-0.625694162139,-0.615317311851,-0.630209993583,-0.613572367948,-0.622649129791,-0.615992511144,-0.629198127059,-0.613898487782,2.92361029708,0.0737870395104,0.00460036077027,0.00147126876159
94.8506633759,0.525858592987,-0.628709958963,-0.614122488709,1,3,"{'min_samples_split': 3, 'min_samples_leaf': 1}",13,-0.636112897676,-0.611822856711,-0.625694194537,-0.615317312596,-0.630210007082,-0.613572939639,-0.622660420569,-0.616070356947,-0.62887227495,-0.613828977652,1.96694486488,0.028762040056,0.00453369037942,0.00147636411776
92.351839447,0.68619146347,-0.628757036644,-0.614114915461,1,4,"{'min_samples_split': 4, 'min_samples_leaf': 1}",15,-0.636153501661,-0.611663415307,-0.625689924795,-0.615317312596,-0.630192551926,-0.613595918033,-0.622660423238,-0.616070373721,-0.629088781598,-0.613927557647,1.96001029041,0.126660040019,0.00454872122031,0.00152209659095
94.4002128124,0.694221639633,-0.628725135945,-0.614135741178,1,5,"{'min_samples_split': 5, 'min_samples_leaf': 1}",14,-0.636153670715,-0.611664673103,-0.625692794943,-0.615319606577,-0.630192551926,-0.613595918033,-0.622659779994,-0.616059110276,-0.62892688215,-0.614039397899,3.4028854734,0.0995696610414,0.00454666415706,0.00151708631639
93.3595438004,0.567406463623,-0.628510799218,-0.614111979417,2,2,"{'min_samples_split': 2, 'min_samples_leaf': 2}",7,-0.635704512303,-0.612158604769,-0.625353261626,-0.614656031972,-0.629953205807,-0.613804010978,-0.622568656441,-0.615822527287,-0.628974359912,-0.614118722078,3.2694594672,0.059926333882,0.00445699534795,0.00119436424395
93.816411972,0.624168682098,-0.628507889093,-0.614111979417,2,3,"{'min_samples_split': 3, 'min_samples_leaf': 2}",6,-0.635704512303,-0.612158604769,-0.625351337395,-0.614656031972,-0.629945348019,-0.613804010978,-0.622563887834,-0.615822527287,-0.628974359912,-0.614118722078,2.41559597001,0.0972497244977,0.00445803181691,0.00119436424395
93.5351113796,0.637111663818,-0.628511427861,-0.614111979417,2,4,"{'min_samples_split': 4, 'min_samples_leaf': 2}",8,-0.635704512303,-0.612158604769,-0.625351337395,-0.614656031972,-0.629945348019,-0.613804010978,-0.622581581675,-0.615822527287,-0.628974359912,-0.614118722078,2.5242784755,0.137780308354,0.00445331661645,0.00119436424395
93.184820652,0.636333417892,-0.628493886218,-0.614167921699,2,5,"{'min_samples_split': 5, 'min_samples_leaf': 2}",5,-0.635704642853,-0.612160123006,-0.625349033892,-0.614786183513,-0.629944788608,-0.613804043014,-0.622506847464,-0.615957921248,-0.628964118271,-0.614131337715,2.3531240581,0.0684040676077,0.0044733874494,0.00124509820747
93.5433986187,0.563009262085,-0.628360579733,-0.613920670302,3,2,"{'min_samples_split': 2, 'min_samples_leaf': 3}",1,-0.636014387171,-0.611953440117,-0.624643302854,-0.614717232005,-0.630062951544,-0.613476820723,-0.62227897727,-0.615385340794,-0.628803279826,-0.614070517871,2.74552264961,0.0620019500296,0.00474297074354,0.00117211104783
94.1846485615,0.702292013168,-0.628361185652,-0.613920670302,3,3,"{'min_samples_split': 3, 'min_samples_leaf': 3}",2,-0.636014387171,-0.611953440117,-0.624643302854,-0.614717232005,-0.630062951544,-0.613476820723,-0.622282006863,-0.615385340794,-0.628803279826,-0.614070517871,1.87895036551,0.0518224844329,0.00474219390487,0.00117211104783
95.2399734974,0.578200674057,-0.628361185652,-0.613920670302,3,4,"{'min_samples_split': 4, 'min_samples_leaf': 3}",2,-0.636014387171,-0.611953440117,-0.624643302854,-0.614717232005,-0.630062951544,-0.613476820723,-0.622282006863,-0.615385340794,-0.628803279826,-0.614070517871,3.2306650176,0.0537267057986,0.00474219390487,0.00117211104783
95.2219829559,0.684052419662,-0.628361680387,-0.613920670302,3,5,"{'min_samples_split': 5, 'min_samples_leaf': 3}",4,-0.636014387171,-0.611953440117,-0.624643302854,-0.614717232005,-0.630062951544,-0.613476820723,-0.622282006863,-0.615385340794,-0.628805753501,-0.614070517871,2.08162709193,0.152211284109,0.00474224012988,0.00117211104783
97.1444113731,0.673220014572,-0.628682309892,-0.61408651482,4,2,"{'min_samples_split': 2, 'min_samples_leaf': 4}",9,-0.636150831754,-0.611964829884,-0.625416463328,-0.614886054059,-0.63082918953,-0.614050443427,-0.62217791015,-0.615685448925,-0.628837154697,-0.613845797802,1.81442554524,0.252470030443,0.00476203439029,0.00124552367033
93.9877449036,0.62203745842,-0.628682309892,-0.61408651482,4,3,"{'min_samples_split': 3, 'min_samples_leaf': 4}",9,-0.636150831754,-0.611964829884,-0.625416463328,-0.614886054059,-0.63082918953,-0.614050443427,-0.62217791015,-0.615685448925,-0.628837154697,-0.613845797802,1.93001335932,0.103924311815,0.00476203439029,0.00124552367033
93.8651866436,0.573025369644,-0.628682309892,-0.61408651482,4,4,"{'min_samples_split': 4, 'min_samples_leaf': 4}",9,-0.636150831754,-0.611964829884,-0.625416463328,-0.614886054059,-0.63082918953,-0.614050443427,-0.62217791015,-0.615685448925,-0.628837154697,-0.613845797802,1.21026065496,0.169714048984,0.00476203439029,0.00124552367033
